#Frame          1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100      101      102
       1    0.000    0.685    0.900    1.016    1.119    1.259    1.357    1.479    1.608    1.723    1.805    1.873    1.954    2.047    2.140    2.230    2.273    2.359    2.472    2.570    2.662    2.760    2.863    2.963    3.028    3.125    3.221    3.319    3.424    3.524    3.614    3.693    3.809    3.900    4.008    4.121    4.246    4.323    4.450    4.501    4.612    4.719    4.792    4.859    4.974    5.057    5.231    5.286    5.455    5.541    5.579    5.645    5.822    5.862    5.903    6.005    6.031    6.157    6.229    6.273    6.361    6.441    6.554    6.590    6.650    6.721    6.801    6.783    6.869    6.913    6.987    7.054    7.156    7.184    7.206    7.259    7.269    7.280    7.343    7.382    7.400    7.394    7.421    7.398    7.433    7.445    7.495    7.454    7.508    7.559    7.523    7.524    7.542    7.545    7.553    7.584    7.566    7.591    7.643    7.604    7.583    7.625
       2    0.685    0.000    0.655    0.811    0.910    1.091    1.211    1.328    1.436    1.558    1.649    1.730    1.810    1.899    1.998    2.091    2.133    2.227    2.337    2.431    2.522    2.627    2.733    2.832    2.900    3.000    3.099    3.193    3.296    3.398    3.490    3.570    3.685    3.777    3.890    3.999    4.129    4.204    4.335    4.384    4.499    4.607    4.673    4.744    4.857    4.939    5.115    5.174    5.346    5.435    5.471    5.538    5.712    5.754    5.793    5.896    5.924    6.050    6.126    6.172    6.259    6.339    6.451    6.489    6.551    6.626    6.706    6.689    6.775    6.818    6.891    6.956    7.063    7.088    7.110    7.162    7.172    7.182    7.245    7.284    7.300    7.298    7.324    7.300    7.334    7.349    7.398    7.356    7.412    7.464    7.431    7.435    7.452    7.455    7.463    7.497    7.481    7.505    7.559    7.520    7.500    7.544
       3    0.900    0.655    0.000    0.660    0.805    0.982    1.108    1.228    1.328    1.448    1.528    1.612    1.689    1.775    1.876    1.964    2.007    2.103    2.213    2.302    2.401    2.496    2.609    2.705    2.769    2.862    2.961    3.055    3.163    3.263    3.353    3.428    3.543    3.636    3.750    3.856    3.984    4.062    4.195    4.245    4.357    4.465    4.534    4.603    4.718    4.797    4.969    5.029    5.200    5.288    5.325    5.390    5.563    5.605    5.645    5.747    5.776    5.906    5.982    6.027    6.117    6.196    6.309    6.344    6.407    6.482    6.562    6.546    6.632    6.676    6.751    6.817    6.921    6.943    6.967    7.020    7.030    7.040    7.107    7.146    7.162    7.159    7.187    7.162    7.200    7.212    7.260    7.220    7.278    7.326    7.295    7.300    7.318    7.322    7.331    7.365    7.351    7.373    7.426    7.388    7.367    7.411
       4    1.016    0.811    0.660    0.000    0.636    0.818    0.940    1.058    1.171    1.300    1.388    1.483    1.550    1.632    1.729    1.813    1.851    1.952    2.064    2.146    2.243    2.351    2.456    2.563    2.632    2.729    2.830    2.924    3.035    3.136    3.225    3.302    3.419    3.514    3.629    3.739    3.871    3.944    4.080    4.128    4.244    4.351    4.421    4.492    4.609    4.689    4.863    4.920    5.095    5.185    5.226    5.292    5.462    5.503    5.545    5.648    5.677    5.811    5.885    5.932    6.021    6.102    6.217    6.254    6.316    6.393    6.473    6.456    6.544    6.588    6.661    6.729    6.834    6.855    6.877    6.937    6.947    6.957    7.025    7.066    7.081    7.076    7.104    7.079    7.118    7.128    7.178    7.138    7.193    7.243    7.211    7.218    7.239    7.241    7.253    7.288    7.272    7.293    7.349    7.311    7.289    7.336
       5    1.119    0.910    0.805    0.636    0.000    0.668    0.800    0.933    1.057    1.188    1.276    1.369    1.435    1.525    1.613    1.704    1.741    1.841    1.963    2.052    2.138    2.256    2.363    2.459    2.527    2.623    2.729    2.827    2.936    3.036    3.130    3.210    3.337    3.428    3.549    3.662    3.793    3.867    3.998    4.046    4.163    4.270    4.343    4.416    4.531    4.611    4.787    4.845    5.020    5.110    5.152    5.216    5.385    5.427    5.470    5.570    5.598    5.729    5.803    5.850    5.940    6.020    6.133    6.172    6.234    6.307    6.392    6.372    6.460    6.503    6.576    6.643    6.749    6.773    6.796    6.853    6.866    6.874    6.938    6.980    6.996    6.992    7.022    6.996    7.034    7.047    7.097    7.055    7.114    7.163    7.133    7.142    7.163    7.163    7.176    7.210    7.197    7.217    7.275    7.234    7.213    7.260
       6    1.259    1.091    0.982    0.818    0.668    0.000    0.631    0.775    0.906    1.019    1.116    1.219    1.291    1.380    1.470    1.555    1.596    1.703    1.832    1.927    2.015    2.127    2.240    2.344    2.416    2.509    2.612    2.714    2.824    2.924    3.015    3.093    3.211    3.311    3.429    3.544    3.677    3.757    3.892    3.938    4.063    4.171    4.250    4.323    4.444    4.524    4.700    4.763    4.935    5.024    5.069    5.135    5.306    5.345    5.389    5.492    5.518    5.647    5.723    5.771    5.863    5.941    6.054    6.096    6.156    6.229    6.312    6.294    6.381    6.424    6.494    6.565    6.672    6.694    6.717    6.777    6.790    6.797    6.863    6.907    6.923    6.917    6.945    6.924    6.962    6.974    7.026    6.982    7.043    7.092    7.061    7.069    7.093    7.091    7.104    7.138    7.122    7.141    7.198    7.157    7.136    7.184
       7    1.357    1.211    1.108    0.940    0.800    0.631    0.000    0.627    0.764    0.872    0.964    1.070    1.164    1.271    1.345    1.433    1.480    1.579    1.705    1.795    1.887    1.997    2.104    2.207    2.286    2.383    2.491    2.595    2.704    2.804    2.897    2.973    3.095    3.203    3.318    3.426    3.561    3.638    3.769    3.818    3.945    4.056    4.134    4.206    4.331    4.413    4.591    4.652    4.825    4.914    4.960    5.032    5.206    5.245    5.288    5.391    5.417    5.548    5.624    5.668    5.759    5.837    5.951    5.993    6.053    6.125    6.209    6.191    6.276    6.317    6.389    6.458    6.562    6.584    6.604    6.665    6.677    6.685    6.750    6.795    6.814    6.808    6.838    6.816    6.856    6.865    6.918    6.873    6.931    6.978    6.952    6.960    6.986    6.986    6.998    7.034    7.018    7.036    7.094    7.054    7.034    7.082
       8    1.479    1.328    1.228    1.058    0.933    0.775    0.627    0.000    0.628    0.737    0.831    0.948    1.029    1.127    1.211    1.300    1.364    1.453    1.577    1.664    1.751    1.861    1.978    2.081    2.171    2.256    2.365    2.470    2.587    2.691    2.783    2.864    2.989    3.099    3.217    3.324    3.464    3.542    3.674    3.718    3.847    3.956    4.033    4.107    4.230    4.319    4.500    4.564    4.741    4.832    4.876    4.944    5.118    5.158    5.204    5.305    5.334    5.464    5.544    5.585    5.678    5.756    5.867    5.910    5.970    6.046    6.127    6.112    6.194    6.236    6.306    6.376    6.482    6.504    6.525    6.587    6.600    6.603    6.670    6.716    6.736    6.731    6.756    6.737    6.774    6.786    6.839    6.793    6.850    6.899    6.872    6.883    6.908    6.907    6.923    6.957    6.942    6.961    7.019    6.979    6.958    7.007
       9    1.608    1.436    1.328    1.171    1.057    0.906    0.764    0.628    0.000    0.578    0.715    0.836    0.906    1.016    1.114    1.187    1.259    1.340    1.470    1.562    1.650    1.753    1.871    1.976    2.062    2.154    2.262    2.366    2.486    2.582    2.679    2.758    2.882    2.993    3.112    3.217    3.351    3.429    3.566    3.612    3.744    3.858    3.934    4.008    4.129    4.216    4.397    4.464    4.639    4.729    4.775    4.840    5.016    5.060    5.104    5.208    5.236    5.364    5.444    5.488    5.578    5.654    5.761    5.805    5.866    5.942    6.022    6.009    6.091    6.132    6.203    6.272    6.380    6.402    6.421    6.483    6.495    6.500    6.567    6.615    6.636    6.632    6.659    6.639    6.679    6.691    6.744    6.698    6.758    6.804    6.778    6.791    6.816    6.814    6.829    6.866    6.852    6.870    6.926    6.887    6.868    6.919
      10    1.723    1.558    1.448    1.300    1.188    1.019    0.872    0.737    0.578    0.000    0.588    0.720    0.793    0.906    1.000    1.090    1.164    1.247    1.369    1.462    1.554    1.657    1.767    1.876    1.967    2.066    2.175    2.282    2.397    2.494    2.587    2.659    2.790    2.896    3.012    3.119    3.254    3.333    3.466    3.506    3.643    3.758    3.832    3.909    4.030    4.117    4.298    4.364    4.538    4.631    4.676    4.743    4.914    4.957    5.005    5.111    5.137    5.267    5.350    5.393    5.483    5.557    5.665    5.708    5.771    5.846    5.928    5.914    6.000    6.042    6.111    6.182    6.289    6.311    6.335    6.396    6.407    6.413    6.483    6.532    6.551    6.547    6.575    6.556    6.594    6.608    6.661    6.612    6.673    6.720    6.692    6.707    6.729    6.727    6.743    6.780    6.766    6.782    6.841    6.799    6.777    6.829
